iter	Logloss
300	0.3068705964
301	0.3066405085
302	0.306640508
303	0.3066405079
304	0.3066404883
305	0.3059435715
306	0.3050071741
307	0.3043450329
308	0.303989109
309	0.3038578257
310	0.3033443541
311	0.3033135549
312	0.3033069461
313	0.3032519092
314	0.3031713783
315	0.3031619674
316	0.3031332898
317	0.303038451
318	0.3029833923
319	0.30298339
320	0.3029601877
321	0.3029170945
322	0.3029013486
323	0.3028931457
324	0.302881978
325	0.3028794035
326	0.3026202927
327	0.3026142143
328	0.3025035694
329	0.3025024
330	0.3024822884
331	0.3024765981
332	0.3019309912
333	0.3019298019
334	0.3011669981
335	0.3006726969
336	0.3006655635
337	0.3006365946
338	0.3004710186
339	0.3004560801
340	0.2999514933
341	0.2999500062
342	0.2999441122
343	0.2996623549
344	0.2992558542
345	0.2992525928
346	0.2991786158
347	0.2990787014
348	0.2990705222
349	0.2987924254
350	0.298727334
351	0.2986312018
352	0.2986234434
353	0.2984517531
354	0.2980306103
355	0.297735905
356	0.2977286841
357	0.2977286446
358	0.2969699789
359	0.2964785466
360	0.2963057813
361	0.2956832904
362	0.2956502234
363	0.2953382806
364	0.2950061856
365	0.294795013
366	0.2946647203
367	0.2944817488
368	0.2944239033
369	0.2943823017
370	0.2942780687
371	0.294168024
372	0.2941411497
373	0.2941408844
374	0.2939972186
375	0.2939971509
376	0.293570883
377	0.2932710866
378	0.2932646375
379	0.2932629321
380	0.2932259362
381	0.2931894232
382	0.2931228259
383	0.2930637787
384	0.2930574308
385	0.2929590527
386	0.2929589661
387	0.2929296324
388	0.2929281238
389	0.2929280126
390	0.2928958794
391	0.2928957824
392	0.2928827134
393	0.2928748705
394	0.292868272
395	0.292849277
396	0.2927435073
397	0.2927199703
398	0.2926965975
399	0.2925740215
400	0.2925331987
401	0.2924005555
402	0.2923481594
403	0.2919956989
404	0.2919082816
405	0.2918953309
406	0.2913203412
407	0.2912021876
408	0.2908115384
409	0.2907199451
410	0.2907126819
411	0.2906828892
412	0.2902573428
413	0.2897517217
414	0.2897237593
415	0.2897230129
416	0.2896832557
417	0.2894599712
418	0.2893718232
419	0.2889586057
420	0.2889536498
421	0.2883639696
422	0.288259443
423	0.2882480388
424	0.2881494085
425	0.287300843
426	0.2872937511
427	0.2872796283
428	0.2870387315
429	0.2870147677
430	0.2870143289
431	0.2869560977
432	0.2869237015
433	0.286847732
434	0.2868383236
435	0.286430105
436	0.2864244816
437	0.2864163856
438	0.2864113454
439	0.2863520247
440	0.2863172749
441	0.2863091557
442	0.2861757653
443	0.2861212071
444	0.2860140315
445	0.2860036178
446	0.285893868
447	0.2858021401
448	0.2857344669
449	0.2852310037
450	0.2852307092
451	0.2850893658
452	0.2849676825
453	0.2849501064
454	0.2845406885
455	0.2844288855
456	0.2843009055
457	0.2842913121
458	0.2842568855
459	0.2842484256
460	0.2842273286
461	0.284224484
462	0.2841865438
463	0.2841864599
464	0.2841849269
465	0.2841749681
466	0.2838520024
467	0.2837971254
468	0.2836906076
469	0.2836759144
470	0.2836707241
471	0.2836542229
472	0.2835657724
473	0.2832534101
474	0.2830722051
475	0.2830650519
476	0.2830453455
477	0.2829911487
478	0.2829819424
479	0.2826949381
480	0.2826773871
481	0.2826550879
482	0.2826392181
483	0.2821583108
484	0.2821426362
485	0.2821346509
486	0.2817185784
487	0.2815994737
488	0.2811759702
489	0.2811029486
490	0.2810644024
491	0.2809951898
492	0.2809575897
493	0.2809443273
494	0.2809220402
495	0.2809111654
496	0.280894995
497	0.2808573324
498	0.2807746661
499	0.2807703131
500	0.2807232401
501	0.2803618863
502	0.2803599104
503	0.2803008896
504	0.2801893196
505	0.2801159277
506	0.2798046783
507	0.2797978694
508	0.2797239672
509	0.2797167835
510	0.2797011494
511	0.2796811515
512	0.2796557991
513	0.2795405214
514	0.2795303026
515	0.2795150515
516	0.2794755453
517	0.2794736364
518	0.2794693176
519	0.2794642353
520	0.2792519039
521	0.2792407862
522	0.2791066851
523	0.2790905152
524	0.2790479989
525	0.2790332197
526	0.2789719339
527	0.2789565239
528	0.2787068002
529	0.2787066634
530	0.278685426
531	0.2786743046
532	0.2786134746
533	0.2783295071
534	0.2782986019
535	0.2782264991
536	0.2782085462
537	0.2781226882
538	0.2781199221
539	0.2781106691
540	0.2780972302
541	0.2780605724
542	0.2777915376
543	0.2774232622
544	0.2772021151
545	0.2768868954
546	0.2768710961
547	0.2768683792
548	0.2768277801
549	0.2768058563
550	0.2767299046
551	0.2763995471
552	0.2763782182
553	0.2761308084
554	0.2761278223
555	0.2761170791
556	0.2759208815
557	0.2759149161
558	0.2758590404
559	0.275851704
560	0.2758516616
561	0.2758169736
562	0.2757114504
563	0.2754295532
564	0.275227563
565	0.275227054
566	0.2752232248
567	0.2751989059
568	0.27519012
569	0.2748387133
570	0.2745619205
571	0.274553238
572	0.2745362775
573	0.2744529565
574	0.2744280198
575	0.2743942094
576	0.2743889035
577	0.2741414954
578	0.2738018231
579	0.2737173
580	0.2737139213
581	0.273713912
582	0.2736810636
583	0.2736665223
584	0.2733307841
585	0.2732607644
586	0.2732215938
587	0.2731921519
588	0.273191725
589	0.2731894524
590	0.2731811814
591	0.2731632014
592	0.2731420866
593	0.2731279657
594	0.2731143059
595	0.2731113699
596	0.2730859679
597	0.2730712176
598	0.2730404198
599	0.2730226766
600	0.2730205372
601	0.272997221
602	0.2729952621
603	0.2729760688
604	0.2726657485
605	0.2724707237
606	0.272441164
607	0.2724393592
608	0.2724360315
609	0.2719978673
610	0.2719971893
611	0.2719867741
612	0.2719854539
613	0.2719521167
614	0.2719413718
615	0.2719365615
616	0.271934645
617	0.2718299877
618	0.2716039762
619	0.2715305286
620	0.2715229389
621	0.2714714675
622	0.271455326
623	0.2708203745
624	0.2707737908
625	0.2706865376
626	0.2706812083
627	0.2706186616
628	0.2705430727
629	0.270474265
630	0.2702561032
631	0.2701759763
632	0.2700263815
633	0.2699803325
634	0.2697906909
635	0.2694337087
636	0.2692774644
637	0.2692399486
638	0.2692230474
639	0.269211512
640	0.269179864
641	0.2691519668
642	0.2691414831
643	0.2691394885
644	0.2690174344
645	0.2689577189
646	0.2685891915
647	0.2685816616
648	0.2685305303
649	0.268478582
650	0.2684414165
651	0.2684315029
652	0.2682650402
653	0.2682618293
654	0.2681528634
655	0.2680606806
656	0.2680524893
657	0.2680329365
658	0.2680250748
659	0.2680138865
660	0.2675930291
661	0.2674059751
662	0.2672578692
663	0.2672392147
664	0.267186683
665	0.2671826566
666	0.2671649744
667	0.2671606377
668	0.2670225141
669	0.2669767345
670	0.2666680937
671	0.2665719375
672	0.2665683997
673	0.2665505627
674	0.2665470845
675	0.2665470101
676	0.2665309327
677	0.2665185388
678	0.2664306991
679	0.2662051623
680	0.2661605152
681	0.2661055029
682	0.2659995021
683	0.2659578271
684	0.265840417
685	0.2658343762
686	0.2656608246
687	0.2655602912
688	0.2652258828
689	0.2651119842
690	0.2651074722
691	0.265053117
692	0.2648944123
693	0.2648925937
694	0.2648849057
695	0.2648585582
696	0.2645467524
697	0.2644028483
698	0.2641842443
699	0.2640545304
700	0.2640238621
701	0.2639264254
702	0.2639226831
703	0.2639153298
704	0.2638931413
705	0.26388001
706	0.2635778143
707	0.2631622067
708	0.2631266207
709	0.2631194835
710	0.2631117662
711	0.2630866158
712	0.2630785758
713	0.262948848
714	0.2629249679
715	0.2629172173
716	0.2627675145
717	0.2627524438
718	0.2627340102
719	0.2627110494
720	0.262707752
721	0.2627009901
722	0.262679041
723	0.2626784895
724	0.2626719483
725	0.2626203094
726	0.2626148819
727	0.2626058035
728	0.2626028541
729	0.2623691325
730	0.2623306433
731	0.2623119231
732	0.2622527164
733	0.2621853584
734	0.2617308477
735	0.2616065369
736	0.2615213718
737	0.2614443415
738	0.2613676288
739	0.2611357422
740	0.2611344534
741	0.2611135208
742	0.2610957024
743	0.2609166635
744	0.2607005237
745	0.2606754039
746	0.260488813
747	0.2604791026
748	0.2604712976
749	0.2603391131
750	0.2602326263
751	0.260034117
752	0.2599200484
753	0.2598949821
754	0.2598766633
755	0.2598135987
756	0.2596957986
757	0.259678288
758	0.2596779557
759	0.259671741
760	0.2596701044
761	0.2596510715
762	0.2596499998
763	0.2596143834
764	0.2595082059
765	0.2593924422
766	0.2593555621
767	0.2593405815
768	0.2590843334
769	0.2590571719
770	0.2589944908
771	0.2589134703
772	0.2588638129
773	0.2586468934
774	0.2586213001
775	0.2586020113
776	0.2585100493
777	0.2584897846
778	0.2584730645
779	0.2584690557
780	0.2584249936
781	0.2582014487
782	0.2581642944
783	0.2581403235
784	0.25811044
785	0.258071401
786	0.2579335284
787	0.2578592794
788	0.2577835342
789	0.2576030391
790	0.2575980371
791	0.2575416561
792	0.2575303118
793	0.2574674137
794	0.2573959307
795	0.2572335309
796	0.2565291483
797	0.256442439
798	0.2562576884
799	0.2562135762
800	0.25587397
801	0.2554580946
802	0.2554578773
803	0.25514289
804	0.2551065454
805	0.2549417087
806	0.2549048147
807	0.2548117812
808	0.2546130789
809	0.2546000386
810	0.2545807903
811	0.2545774922
812	0.2542960297
813	0.2542570883
814	0.2539731697
815	0.2539108263
816	0.2537303774
817	0.2536419788
818	0.2535769005
819	0.2535122411
820	0.2532547897
821	0.2531767884
822	0.253169458
823	0.2530348358
824	0.2529665465
825	0.2526149523
826	0.2525245817
827	0.2524519861
828	0.2522993389
829	0.2522966584
830	0.2522076597
831	0.252133157
832	0.2520627591
833	0.2520500475
834	0.2519725972
835	0.251941463
836	0.2519363653
837	0.2516452066
838	0.2516266122
839	0.2515045072
840	0.2513761313
841	0.2512545142
842	0.2512368756
843	0.2510753316
844	0.2510639811
845	0.2510186734
846	0.2510125851
847	0.2506267113
848	0.2505309214
849	0.2504647998
850	0.2504082333
851	0.2502497411
852	0.2502117315
853	0.2502057081
854	0.2498992052
855	0.2498482585
856	0.2497315005
857	0.2496505716
858	0.2495647998
859	0.2494084109
860	0.2493762212
861	0.2493747011
862	0.2489623851
863	0.248948418
864	0.248944605
865	0.2489389564
866	0.2486923006
867	0.2482250138
868	0.2481967302
869	0.2481797515
870	0.2479311023
871	0.2475864328
872	0.2474836232
873	0.2471635349
874	0.2471449431
875	0.2470856985
876	0.2470049284
877	0.247001769
878	0.2468046633
879	0.2465725912
880	0.2465205896
881	0.2462825607
882	0.2462466777
883	0.2462444541
884	0.2459795085
885	0.2459671157
886	0.2459455152
887	0.2459282556
888	0.2453513975
889	0.2449907333
890	0.244971265
891	0.2447633373
892	0.2444208018
893	0.2443762641
894	0.2443754246
895	0.2443697817
896	0.2443535471
897	0.2443243268
898	0.2443112529
899	0.2441344032
